ColonySource,Apiary,Colony ,Treatment,BroodBreak,OADose,SS1,SS2,AW1Mites,AW2Mites,AW3Mites,AW4Mites,AW1Bees,AW2Bees,AW3Bees,AW4Bees
UGA,Fire,1,BB3,TRUE,3,104,535,4,0,3,1,191,81,137,108
UGA,Fire,2,3,FALSE,3,375,891,28,14,22,10,212,132,180,136
UGA,Fire,3,BB C,TRUE,0,178,200,8,10,3,10,125,142,156,178
UGA,Fire,4,2,FALSE,2,159,178,2,13,7,12,257,124,165,181
UGA,Fire,8,BB2,TRUE,2,391,829,12,15,7,7,147,95,165,142
UGA,Fire,9,C,FALSE,0,646,908,13,26,17,18,200,128,116,157
UGA,Fire,10,BB3,TRUE,3,349,871,9,15,4,8,175,138,127,141
UGA,Fire,11,C,FALSE,0,882,1797,9,19,27,16,195,153,160,158
UGA,Fire,12,3,FALSE,3,94,406,1,7,4,5,165,201,138,188
UGA,Fire,16,BB2,TRUE,2,142,663,14,10,3,4,195,144,121,134
UGA,Fire,18,2,FALSE,2,94,243,0,11,8,6,87,139,135,156
UGA,Fire,24,C ,FALSE,0,111,87,NA,3,8,2,NA,121,183,175
UGA,Circle,2,BB2,TRUE,2,106,796,12,5,1,3,254,139,128,81
UGA,Circle,4,BB3,TRUE,3,194,919,8,15,6,24,177,140,116,109
UGA,Circle,6,3,FALSE,3,81,590,21,16,17,6,242,211,201,137
UGA,Circle,8,BB C,TRUE,0,62,119,1,6,1,9,248,176,141,149
UGA,Circle,10,2,FALSE,2,91,321,1,0,6,4,190,247,139,108
UGA,Circle,12,BB3,TRUE,3,24,245,4,3,0,2,250,151,125,159
UGA,Circle,13,C,FALSE,0,21,39,0,5,2,5,99,201,137,145
UGA,Circle,14,3,FALSE,3,33,97,0,2,2,4,102,189,169,173
UGA,Circle,16,BB2,TRUE,2,23,404,1,4,2,0,125,155,97,149
UGA,Circle,20,2,FALSE,2,47,99,1,3,0,2,268,182,140,93
UGA,Circle,22,BB3,TRUE,3,24,271,0,0,1,2,218,120,147,122
UGA,Circle,24,C,FALSE,0,5,6,0,3,3,0,95,261,160,196
UGA,Powdered Sugar,2,BB C,TRUE,0,231,262,7,12,2,20,231,115,158,155
UGA,Powdered Sugar,3,C,FALSE,0,NA,542,3,18,14,20,216,138,100,160
UGA,Powdered Sugar,4,2,FALSE,2,644,1619,7,9,13,18,226,150,169,152
UGA,Powdered Sugar,5,2,FALSE,2,390,1568,16,37,29,24,217,163,159,153
UGA,Powdered Sugar,7,3,FALSE,3,202,319,5,23,21,25,232,182,131,166
UGA,Powdered Sugar,8,C,FALSE,0,293,277,9,2,11,27,246,133,139,189
UGA,Powdered Sugar,9,BB2,TRUE,2,125,473,4,15,9,11,203,133,147,173
UGA,Powdered Sugar,10,2,FALSE,2,102,584,4,7,11,17,204,102,139,201
UGA,Powdered Sugar,12,BB C,TRUE,0,49,61,2,7,1,38,219,186,136,163
UGA,Powdered Sugar,13,3,FALSE,3,231,283,5,9,21,26,246,115,140,159
UGA,Powdered Sugar,14,BB2,TRUE,2,244,1180,14,10,2,4,234,175,102,169
UGA,Powdered Sugar,15,BB3,TRUE,3,227,888,5,13,2,5,199,169,127,148
UGA,Powdered Sugar,16,BB2,TRUE,2,112,685,6,13,14,9,223,110,99,170
UGA,Powdered Sugar,17,BB3,TRUE,3,165,2069,5,5,2,9,237,122,129,159
UGA,Powdered Sugar,18,BB2,TRUE,2,112,461,7,5,3,6,238,124,122,175
UGA,Powdered Sugar,19,BB C,TRUE,0,185,216,6,6,3,22,223,136,112,188
UGA,Powdered Sugar,20,BB3,TRUE,3,248,1400,16,8,7,8,289,159,143,172
UGA,Powdered Sugar,22,BB3,TRUE,3,58,302,5,2,4,9,260,209,135,157
UGA,Powdered Sugar,23,C,FALSE,0,81,114,5,6,13,8,230,121,155,161
Harris,DH,1,BB3,TRUE,3,222,548,15,1,0,1,221,140,160,100
Harris,DH,3,BB C,TRUE,0,38,62,3,0,0,0,257,125,158,139
Harris,DH,4,BB2,TRUE,2,128,246,3,2,9,1,278,109,197,116
Harris,DH,5,C,FALSE,0,47,82,1,3,4,0,254,164,171,158
Harris,DH,6,BB3,TRUE,3,72,211,4,1,0,0,215,191,77,134
Harris,DH,7,3,FALSE,3,61,271,7,14,3,8,240,189,161,184
Harris,DH,8,2,FALSE,2,852,1654,11,11,12,8,209,132,135,136
Harris,DH,10,C,FALSE,0,323,545,15,5,26,14,278,140,149,106
Harris,DH,11,BB2,TRUE,2,89,371,14,18,10,3,205,156,169,155
Harris,DH,12,BB2,TRUE,2,23,172,1,3,0,2,96,198,184,164
Harris,DH,13,3,FALSE,3,253,680,7,12,14,10,148,167,141,162
Harris,DH,14,2,FALSE,2,34,333,2,4,3,3,137,144,130,148
Harris,DH,15,BB C,TRUE,0,38,46,9,19,2,0,234,147,172,142
Harris,DH,16,2,FALSE,2,45,257,2,10,3,5,127,172,159,152
Long,Turkey Creek,1,3,FALSE,3,137,1150,7,23,1,21,240,168,170,175
Long,Turkey Creek,2,BB2,TRUE,2,90,581,13,2,0,3,272,157,174,174
Long,Turkey Creek,3,BB C,TRUE,0,67,64,4,5,15,6,237,141,135,178
Long,Turkey Creek,4,C,FALSE,0,79,75,1,15,12,13,224,160,206,154
Long,Turkey Creek,5,2,FALSE,2,155,47,5,13,9,8,277,291,130,113
Long,Turkey Creek,6,3,FALSE,3,23,87,0,0,1,2,189,228,151,164
Long,Turkey Creek,7,BB2,TRUE,2,34,701,5,2,2,0,269,194,167,117
Long,Turkey Creek,8,BB3,TRUE,3,22,174,2,4,0,0,120,198,191,61
Long,Weird,1,BB C,TRUE,0,20,20,8,1,0,1,307,144,167,163
Long,Weird,2,3,FALSE,3,73,157,5,1,1,1,287,145,157,190
Long,Weird,3,BB3,TRUE,3,69,677,5,0,0,3,203,90,161,151
Long,Weird,4,BB2,TRUE,2,10,147,2,0,1,0,274,173,99,118
Long,Weird,5,BB3,TRUE,3,16,129,1,2,0,0,162,159,189,135
Long,Weird,6,C,FALSE,0,1,23,1,4,0,2,202,164,160,163
Long,Weird,7,2,FALSE,2,3,25,1,0,0,1,261,145,150,157
Long,Weird,8,C,FALSE,0,14,26,2,2,1,0,222,175,135,170
Long,Kenny Ridge,1,BB C,TRUE,0,22,6,5,5,0,3,96,250,157,156
Long,Kenny Ridge,2,BB C,TRUE,0,133,66,0,8,2,1,86,142,141,141
Long,Kenny Ridge,3,BB2,TRUE,2,38,72,2,0,0,0,97,154,155,156
Long,Kenny Ridge,4,BB3,TRUE,3,95,682,20,1,1,0,113,146,155,148
Long,Kenny Ridge,5,C,FALSE,0,82,88,2,3,2,5,144,175,147,149
Long,Kenny Ridge,6,3,FALSE,3,108,205,6,17,4,9,121,327,144,154
Long,Kenny Ridge,7,2,FALSE,2,131,213,3,10,3,8,96,154,110,147
Long,Kenny Ridge,8,2,FALSE,2,36,41,1,0,0,2,65,114,119,117
